Word 1      Word 2       Similarity 
Word1  Word2        1.99017532106066   3.13
biến  ngập        2.165046366584235   3.07
nhà_thi_đấu  nhà        2.554171919736555   0.6
động  tĩnh        2.3535972567125345   0.2
khuyết  ưu        2.8047322583886123   4.13
cõi_tục  cõi_âm        2.9260168040281442   5.27
thủ_pháp  biện_pháp        2.513894017799225   0.87
kết_duyên  thành_hôn        2.3703840448042324   1.07
cấp_tiến  bảo_thủ        2.446139209050971   2.27
nước_lớn  nguy_hiểm        3.0697826059926783   0.33
hoa  nhị        2.1554021786079245   0.47
bất_lợi  thuận_lợi        3.287767080367707   4.53
phân_ly  sum_họp        2.722065105545634   0.53
nói_lắp  nói_móc        2.1192047416984385   0.67
vây_ép  phong_toả        2.477910070739974   1.6
diễu_hành  tuần_hành        2.3329482782948547   4.13
cao_trào  thoái_trào        1.6543198558076107   0.33
thịnh  suy        3.2835776069435765   5.33
con_voi  ngà        2.575070555821151   4.33
cá_chuối  cá_quả        2.7763943388881893   3.93
đổ_bê_tông  biếu_xén        2.5119294575920197   4.6
con_đẻ  con_ruột        2.9608638847711237   3.53
uỷ_nhiệm  phân_công        2.944852597748417   4.33
bay_lượn  chuyển_động        3.324818770468128   5.67
khêu_gợi  khơi_gợi        2.45046629996336   0.47
thăng_bằng  cân_bằng        3.4681366684721393   3.33
chọn_lựa  tuyển_chọn        1.9727809109610321   1.47
có_ích  hữu_ích        3.375650884051625   3.4
cứng_rắn  nhỏ_nhắn        3.1928088872670974   4.0
bội_nghĩa  biết_ơn        2.7508882844249416   3.53
lỗ_đen  hố_đen        2.7712271644100896   5.2
vùi  đóng        2.46611292834211   3.13
tính_tình  tính_khí        1.9394857263227294   0.47
mục_sư  giáo_sĩ        2.1847963010664415   0.07
cộng_đồng  dân_tộc        2.9625803899517456   5.73
rớ  sờ        2.886057696519466   2.13
trả_đũa  đền_đáp        2.8552804112428527   3.93
tay_cầm  phân_đạm        2.6870744292571516   0.4
liên_hệ  nguỵ_trang        2.955507208086649   0.53
mới_tinh  mới_toanh        2.331965107982204   1.47
cột_trụ  bệ        2.703760043256292   4.6
họp_mặt  tiệc        3.074501701892033   3.67
lộn_xộn  gọn_gàng        2.3403637134225512   0.73
chủ_động  thụ_động        1.808643310617477   3.2
vali  tay_cầm        2.8116225704643067   5.93
đơn_tiết  đơn_âm        2.354014477178041   3.6
ghen_tị  ghen_ghét        2.1859057511415725   0.73
ngả_nghiêng  sờn_lòng        3.312359907859512   4.4
ngôn_ngữ_học  khoa_học        2.3182958727052916   3.8
vẹo  vẹo_vọ        2.5147997251665872   1.87
thu_gom  tiếp_sức        2.5036368771709334   0.27
quy_trình  sáng_tác        2.627745777727119   4.27
thành_thị  thị_thành        2.6158626539868424   2.13
nhảy_nhót  nhích        2.283006922777152   0.0
ly_tâm  hướng_tâm        2.7073554070184116   2.27
cống  đường_ống        2.3326001650109998   0.47
còm  nhỏ_nhoi        2.9805712308898973   4.27
bánh_răng  răng        2.180484386603357   0.33
nao_núng  kiên_định        1.9800896153529646   0.33
bằng_hữu  bầu_bạn        2.366115567494692   4.13
thân  lưng        3.1002675857423423   2.33
bút_chì  lô        2.4201975404233353   0.4
cổng  ổ_khoá        2.1088529765812245   4.0
dị_bản  đĩa_bay        2.3891834973440322   4.27
nguây_nguẩy  ngúng_nguẩy        3.1061638776936262   0.33
biên_nhận  ứng_chiến        3.079243270541035   5.27
truy_cập  thâm_nhập        2.8895549002237977   3.13
chỉ_định  hạ_bút        2.3650573909151102   0.07
âm  nguy_hiểm        2.3768654572832606   0.33
thăng_trầm  khô_kiệt        2.861135154646955   5.27
thay_thế  biến_đổi        3.456695914588818   3.33
ban_công  lan_can        2.96256593298269   0.33
dưới  trên        2.1233075026952797   2.67
kháng_cự  phản_đối        3.00365853105382   0.33
cầm  rờ_mó        2.9943898575777297   2.8
vế  vai_vế        2.5281104920683246   3.0
vắng_lặng  ồn_ào        1.9835291615545305   0.0
xót_thương  đau_lòng        2.003214029150924   1.0
găng_tay  quần_áo        2.6763475012085456   3.53
lộp_bộp  lộp_độp        2.8669272110825057   5.0
sinh_vật_cảnh  đồng_dao        2.328702702796892   3.07
lặn  mọc        2.6978214184451086   2.93
bồ_bịch  nhân_tình        2.575289577937908   4.4
bằng_chứng  chứng_cứ        2.798589945566307   0.33
hạ_màn  mở_màn        2.5541373349175647   3.93
ca_tụng  đoàn_kết        2.94559209228839   3.2
ngày  đêm        2.7613981850636438   2.87
lan_can  rào        3.3041123479913805   4.87
trở_lại  đảo_ngược        2.7915048411978045   2.33
nhạc_nhẹ  tiểu_học        2.0740586149487883   0.2
tự_do  đức_tính        2.851187412753768   4.87
hợp_nhất  liên_kết        2.6005164951945394   1.47
hoàng_tộc  hoàng_gia        2.2357763736822722   2.07
đầu_mối  chỗ        2.2386054773976056   0.13
tinh_luyện  hoá_lỏng        2.283678354451245   2.07
bí_hiểm  bí_mật        2.200027783449825   0.07
chung_tình  phụ_bạc        1.6531828756919404   0.53
bàn_cãi  cân_nhắc        1.9606712682864882   0.13
nhảy_cao  ném_đĩa        2.8661701832808495   5.33
bánh_hỏi  bánh_giò        2.477793116865261   0.27
tiếng_chuông  âm_thanh        2.7849483163951154   0.27
tha_thẩn  thơ_thẩn        2.9583808793843342   4.47
